open_time,open,high,low,close,volume,num_trades,taker_base_vol
1601553600000,10903.16,10908.23,10712.0,10716.23,10200.052142,129705,4163.523284
1601568000000,10716.23,10716.23,10437.0,10617.74,23365.475566,294126,11050.908978
1601582400000,10617.74,10634.98,10567.37,10619.13,5370.657215,94219,2593.767081
1601596800000,10619.13,10654.83,10584.0,10649.06,4913.318473,81433,2368.496842
1601611200000,10649.06,10664.64,10385.02,10490.88,13012.910762,187722,6178.506102
1601625600000,10490.88,10495.0,10374.0,10436.63,10230.652468,164683,5043.621431
1601640000000,10436.63,10600.0,10431.28,10512.74,10529.67978,152252,5110.289769
1601654400000,10512.74,10563.0,10492.0,10515.04,6492.972179,95529,2871.555427
1601668800000,10515.04,10580.0,10463.02,10570.4,4950.860043,95574,2551.432974
1601683200000,10570.4,10576.87,10521.88,10552.24,3205.06008,61506,1614.221368
1601697600000,10552.24,10563.24,10496.46,10527.75,3599.403637,58845,1659.464975
1601712000000,10527.75,10564.0,10498.97,10536.65,4140.597199,70723,2114.916406
1601726400000,10536.65,10553.83,10517.87,10541.98,3483.354261,61715,1682.187245
1601740800000,10541.97,10603.56,10535.04,10582.62,4948.828902,68904,2231.187426
1601755200000,10582.57,10588.43,10530.0,10542.06,2920.977262,59636,1450.485462
1601769600000,10542.07,10559.73,10517.87,10545.49,3215.395149,60843,1610.652417
1601784000000,10545.48,10637.35,10544.4,10612.83,3828.615857,57242,2185.334452
1601798400000,10612.83,10625.0,10570.47,10600.75,3780.156541,59172,1952.350638
1601812800000,10600.75,10622.45,10575.0,10591.45,3236.364547,54259,1585.727119
1601827200000,10591.45,10696.87,10581.26,10673.26,5561.535274,81605,3066.632887
1601841600000,10673.26,10690.75,10637.33,10666.63,3589.934227,64432,1722.578137
1601856000000,10666.62,10741.63,10655.64,10665.88,4671.264139,71069,2326.335944
1601870400000,10665.88,10695.81,10615.64,10686.31,5748.600977,80876,2602.578722
1601884800000,10686.31,10696.67,10658.95,10666.53,5552.684777,70978,2459.430108
1601899200000,10666.53,10777.37,10654.96,10726.02,7794.048937,100753,3382.238243
1601913600000,10726.01,10745.3,10680.0,10730.78,5584.960355,82805,2403.857191
1601928000000,10730.78,10798.0,10727.8,10792.21,4674.202468,76859,2377.144179
1601942400000,10792.2,10800.0,10738.08,10765.29,5199.392061,66949,2438.518679
1601956800000,10765.3,10784.02,10705.27,10711.15,7514.980726,124522,3603.528654
1601971200000,10711.15,10754.71,10650.46,10697.33,7678.425026,121199,3796.290045
1601985600000,10697.19,10760.0,10621.0,10735.01,10236.973284,144420,4843.60038
1602000000000,10735.01,10751.23,10537.99,10571.36,11457.158343,157116,5257.314034
1602014400000,10571.35,10615.24,10525.0,10599.66,6587.811031,120320,3250.438108
1602028800000,10599.65,10606.45,10546.17,10575.51,5320.946593,94979,2562.980583
1602043200000,10575.51,10630.0,10570.6,10618.69,5606.158173,81217,2760.935965
1602057600000,10618.69,10627.88,10569.99,10600.41,5723.865918,78204,2660.510079
